ID,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
100722,2012-04-22,MountGambier,15.0,18.9,4.2,6.6,8.0,NNW,54.0,NNW,NW,24.0,31.0,73.0,64.0,1005.2,1003.7,4.0,5.0,17.3,17.6,Yes
30235,2008-03-30,Sydney,13.1,26.8,0.0,4.6,10.9,,,W,WNW,22.0,15.0,61.0,22.0,1013.0,1009.0,0.0,1.0,16.9,25.9,No
68428,2011-12-10,Melbourne,19.0,29.0,,11.0,5.6,N,59.0,N,N,39.0,22.0,50.0,38.0,1006.5,1003.4,,,24.2,27.2,
28625,2013-03-27,Richmond,18.1,32.2,0.0,2.1,,NE,30.0,,NE,0.0,17.0,99.0,51.0,1019.2,1014.6,,,20.9,31.6,No
31174,2010-10-25,Sydney,13.9,19.6,14.0,1.2,5.4,SSW,50.0,SW,S,17.0,22.0,90.0,64.0,,1018.4,7.0,6.0,15.5,19.1,Yes
574,2010-06-27,Albury,0.6,11.9,0.2,,,W,22.0,SW,NW,2.0,11.0,99.0,54.0,1024.3,1021.8,1.0,2.0,2.8,11.5,No
120057,2015-11-22,PerthAirport,21.8,36.2,0.0,12.2,11.9,E,61.0,NNE,NW,31.0,30.0,14.0,12.0,1014.9,1013.2,6.0,0.0,31.2,33.4,No
43058,2010-04-25,Wollongong,17.7,22.3,,,,SSE,54.0,,S,,37.0,,80.0,1012.8,1014.3,,7.0,,17.0,
28967,2014-03-04,Richmond,18.4,25.7,2.6,1.2,,NE,24.0,,NNE,0.0,2.0,100.0,64.0,1026.5,1023.3,,,19.8,24.2,Yes
90692,2010-02-25,GoldCoast,22.0,27.9,16.6,,,SSE,61.0,SSE,S,31.0,30.0,77.0,78.0,1021.4,1020.9,,,25.3,23.8,Yes
141571,2015-06-23,Darwin,17.4,31.1,0.0,7.0,10.9,NNW,30.0,SSE,NW,11.0,17.0,65.0,41.0,1015.9,1012.2,1.0,4.0,24.0,30.6,No
114055,2015-12-08,Witchcliffe,11.8,21.8,0.0,,,W,31.0,SW,WSW,13.0,19.0,66.0,69.0,1020.4,1019.3,,,17.4,19.5,No
85343,2012-03-27,Brisbane,16.8,26.9,0.0,7.0,8.0,E,33.0,S,ESE,6.0,15.0,66.0,54.0,1021.6,1019.0,1.0,6.0,23.9,25.4,No
6335,2009-10-13,Cobar,9.1,23.8,0.6,4.6,10.1,WSW,69.0,WNW,NW,15.0,35.0,33.0,19.0,1007.6,1003.3,0.0,4.0,16.6,22.4,No
133968,2011-07-25,Launceston,-2.0,11.2,0.0,,,E,7.0,E,N,2.0,4.0,98.0,65.0,1017.7,1014.7,,,0.3,10.3,No
108592,2008-12-21,Albany,15.5,18.5,0.6,8.2,3.8,,,N,WSW,37.0,30.0,87.0,68.0,1011.9,1013.1,7.0,7.0,16.0,17.5,No
77310,2015-08-16,Portland,5.8,14.5,0.2,2.0,4.7,W,61.0,NNW,WNW,13.0,41.0,98.0,79.0,1025.8,1020.6,8.0,8.0,10.1,13.0,No
25460,2012-08-24,Penrith,10.5,19.4,4.8,,,WNW,56.0,N,WNW,20.0,28.0,46.0,31.0,,,,,13.6,18.6,Yes
73484,2013-05-21,Nhil,6.3,14.8,4.8,,,ENE,35.0,ENE,ENE,15.0,20.0,87.0,66.0,1017.8,1014.2,,,8.2,14.3,Yes
10040,2011-10-09,CoffsHarbour,11.5,22.9,5.8,2.4,10.3,NNE,33.0,SSW,NE,6.0,20.0,74.0,59.0,1009.8,1005.1,3.0,5.0,19.1,22.2,Yes
22269,2012-03-25,NorfolkIsland,20.2,23.6,0.6,3.2,7.8,SSE,50.0,SE,SE,26.0,24.0,59.0,55.0,1012.7,1012.6,2.0,6.0,22.1,22.3,No
126034,2015-04-19,SalmonGums,6.8,21.3,0.2,,,NE,37.0,NE,ENE,22.0,15.0,65.0,39.0,,,,,15.0,20.9,No
67032,2017-01-08,MelbourneAirport,26.0,34.7,0.0,16.4,10.7,N,63.0,N,SSE,28.0,28.0,36.0,58.0,1005.6,1007.1,7.0,6.0,28.1,24.6,No
1698,2013-10-22,Albury,16.0,26.2,2.8,,,NW,52.0,,ENE,0.0,24.0,81.0,60.0,1011.1,1007.4,,2.0,19.1,25.7,Yes
122068,2012-06-29,Perth,7.9,17.4,0.2,1.4,2.4,S,17.0,N,SW,6.0,2.0,84.0,59.0,1026.1,1024.2,7.0,7.0,11.1,17.0,No
48228,2015-04-22,Canberra,10.2,18.4,0.0,,,S,59.0,S,S,35.0,43.0,70.0,63.0,1018.9,1015.2,6.0,3.0,13.2,16.5,No
56195,2011-12-28,Ballarat,8.0,23.9,0.0,,,,,,,,,,,,,1.0,,,,No
93176,2017-03-13,GoldCoast,23.6,27.2,0.0,,,WNW,52.0,W,ESE,22.0,15.0,69.0,76.0,1014.5,1012.7,,,25.6,25.2,No
13969,2014-06-14,Moree,13.0,16.7,,,,W,28.0,NW,W,9.0,13.0,97.0,76.0,1015.7,1013.6,8.0,7.0,13.2,15.8,
116729,2015-01-07,PearceRAAF,18.7,35.1,0.0,,13.2,E,65.0,SE,E,20.0,17.0,47.0,28.0,1010.9,1008.9,,,25.5,34.1,No
145230,2016-11-07,Uluru,16.3,41.2,0.0,,,W,59.0,NNW,NW,17.0,24.0,15.0,8.0,1007.0,1002.2,,8.0,31.4,38.5,No
74673,2016-08-22,Nhil,1.6,14.9,0.0,,,WSW,30.0,,SSW,0.0,17.0,99.0,80.0,1013.7,1012.5,,,7.4,11.2,No
90561,2009-10-17,GoldCoast,14.9,24.5,,,,SSE,43.0,SSE,SE,31.0,30.0,28.0,40.0,1019.8,1018.2,,,22.7,22.9,
118291,2010-10-24,PerthAirport,11.9,28.1,0.0,8.8,12.4,SW,48.0,SE,SW,11.0,33.0,40.0,37.0,1017.8,1014.5,1.0,1.0,20.8,25.3,No
11833,2016-11-03,CoffsHarbour,12.8,25.7,0.0,,,NE,46.0,NNW,NE,11.0,35.0,58.0,63.0,1018.8,1015.5,1.0,1.0,22.2,22.9,No
68401,2011-11-13,Melbourne,15.0,25.3,,5.6,0.1,NW,48.0,N,NNW,24.0,24.0,70.0,31.0,1012.8,1010.5,,,17.4,25.2,
79910,2014-07-03,Watsonia,5.2,13.2,0.0,2.8,9.2,N,46.0,NE,N,9.0,20.0,84.0,68.0,1025.0,1021.9,1.0,1.0,8.7,12.0,No
21979,2011-06-09,NorfolkIsland,18.2,20.9,0.0,2.2,0.1,NNE,43.0,NNE,NNE,17.0,20.0,79.0,79.0,1017.1,1014.3,7.0,7.0,19.8,20.0,No
5568,2016-03-01,BadgerysCreek,17.0,30.6,0.0,,,ENE,26.0,S,NNE,2.0,15.0,100.0,50.0,1022.0,1019.2,,,21.4,28.9,No
127639,2011-03-18,Walpole,17.8,25.4,0.0,,,SE,26.0,ESE,S,9.0,13.0,81.0,74.0,1012.0,1010.5,,,20.5,24.2,No
33926,2010-02-10,SydneyAirport,21.8,30.5,0.0,5.8,10.1,NE,43.0,NNE,ENE,15.0,30.0,67.0,55.0,1020.4,1017.1,1.0,1.0,26.3,28.8,No
93339,2009-01-28,Townsville,23.8,28.5,4.2,1.8,0.6,E,43.0,ESE,SE,15.0,17.0,76.0,91.0,1009.5,1007.9,7.0,8.0,27.0,24.6,Yes
43177,2010-08-22,Wollongong,9.6,17.3,0.0,,,SW,44.0,SW,NE,13.0,19.0,44.0,49.0,1023.1,1020.5,,,14.6,15.9,No
8287,2015-05-16,Cobar,8.2,22.0,0.0,4.2,,E,30.0,E,E,19.0,13.0,54.0,33.0,1033.0,1029.7,1.0,1.0,14.7,21.9,No
28759,2013-08-08,Richmond,7.7,15.8,7.2,1.9,,SSW,48.0,S,SSW,13.0,30.0,64.0,55.0,1009.2,1010.8,,,11.0,14.2,Yes
129772,2017-04-20,Walpole,12.1,25.6,0.2,,,NNW,31.0,ENE,W,4.0,11.0,100.0,52.0,1021.0,1018.5,,,16.0,24.6,No
29041,2014-05-17,Richmond,5.5,24.9,0.2,,,NNE,11.0,,NE,0.0,4.0,90.0,36.0,1030.7,1026.3,,4.0,11.9,23.4,No
57033,2014-06-12,Ballarat,7.3,11.3,0.0,,,NE,54.0,NNE,NNE,28.0,17.0,93.0,98.0,1017.4,1015.1,,8.0,8.3,9.9,No
79008,2011-11-15,Watsonia,9.7,28.4,0.2,4.6,10.7,SSW,52.0,ENE,NNW,9.0,15.0,69.0,33.0,1015.5,1012.7,0.0,2.0,18.1,27.2,No
105987,2010-03-01,Woomera,17.2,28.3,0.0,15.0,9.3,SSE,56.0,SSE,SE,33.0,31.0,42.0,16.0,1016.1,1013.9,7.0,3.0,18.1,26.3,No
56569,2013-03-05,Ballarat,12.7,28.8,0.0,,,N,37.0,NE,NE,20.0,13.0,65.0,38.0,1019.8,1017.5,,,19.7,27.2,No
45902,2008-09-10,Canberra,-2.7,15.2,0.0,4.0,9.7,N,30.0,SW,WNW,6.0,20.0,62.0,35.0,1022.8,1017.9,1.0,2.0,6.3,14.9,No
89923,2016-08-12,Cairns,18.0,27.0,0.0,4.8,,SE,41.0,SSE,ESE,15.0,30.0,69.0,56.0,1019.6,1016.0,,,23.8,26.7,No
52194,2009-04-11,MountGinini,7.0,14.0,0.8,,,,,N,,15.0,,,,,,,,9.7,,No
71590,2012-05-11,Mildura,6.5,19.2,0.0,2.8,4.9,WSW,35.0,W,SW,11.0,15.0,68.0,44.0,1022.0,1020.3,1.0,6.0,13.1,18.1,No
5242,2015-04-10,BadgerysCreek,12.1,21.6,0.0,,,SW,30.0,SW,S,17.0,15.0,66.0,64.0,1025.0,1022.8,,,17.6,19.9,No
14772,2016-08-25,Moree,7.4,14.4,4.0,2.2,,,,,,,,86.0,60.0,1015.1,1014.8,8.0,8.0,9.1,13.7,Yes
31623,2012-02-16,Sydney,18.5,26.7,0.0,7.4,11.3,NE,41.0,N,NE,13.0,26.0,68.0,47.0,1020.0,1017.9,,,22.8,26.0,No
46123,2009-04-19,Canberra,6.7,19.3,0.0,3.6,7.6,SSE,41.0,S,E,20.0,20.0,62.0,55.0,1022.8,1020.5,1.0,7.0,15.7,17.6,No
75462,2010-04-27,Portland,9.5,16.2,5.8,1.8,7.2,WNW,43.0,SSW,WSW,13.0,19.0,56.0,59.0,1019.3,1018.6,5.0,5.0,12.7,14.7,Yes
10440,2012-11-12,CoffsHarbour,9.8,22.8,0.6,5.6,9.2,NE,33.0,WSW,ENE,6.0,22.0,64.0,45.0,1026.6,1022.9,7.0,1.0,17.8,21.8,No
89985,2016-10-13,Cairns,20.1,29.2,0.0,5.6,,ENE,31.0,SE,NE,11.0,15.0,68.0,68.0,1013.8,1010.7,2.0,8.0,26.7,26.6,No
87994,2011-02-02,Cairns,26.0,31.6,0.6,,0.7,W,83.0,SSE,S,39.0,13.0,70.0,84.0,1004.7,997.9,6.0,,28.3,26.0,No
21244,2009-05-05,NorfolkIsland,16.0,20.4,0.0,6.4,9.5,SSW,31.0,S,SSW,13.0,20.0,60.0,54.0,1021.1,1018.8,5.0,2.0,18.3,19.6,No
109665,2011-12-29,Albany,19.2,31.0,0.0,7.6,13.1,,,ENE,ESE,11.0,24.0,55.0,72.0,1007.6,1003.2,0.0,1.0,26.9,25.4,No
78477,2010-05-03,Watsonia,5.9,22.8,0.0,1.6,8.3,NE,44.0,ENE,N,6.0,26.0,100.0,42.0,1025.6,1019.1,7.0,4.0,8.9,22.2,No
81873,2011-06-24,Dartmoor,9.3,15.2,0.8,0.6,1.7,NW,35.0,NNW,NW,13.0,19.0,100.0,99.0,1024.8,1024.3,,,12.1,13.3,No
126096,2015-06-20,SalmonGums,11.5,21.1,5.6,,,NNW,39.0,NNW,NW,15.0,19.0,84.0,59.0,,,,,16.5,20.2,Yes
92016,2014-01-08,GoldCoast,23.0,28.4,0.2,,,SE,52.0,SE,S,28.0,31.0,55.0,72.0,1019.0,1018.1,,,25.8,23.6,No
90301,2009-01-30,GoldCoast,21.6,30.1,6.0,,,ESE,57.0,E,E,24.0,28.0,66.0,69.0,1017.5,1015.4,,,28.2,28.0,Yes
63023,2014-04-14,Sale,8.0,18.4,0.0,2.2,2.9,ENE,31.0,WNW,ESE,7.0,11.0,79.0,60.0,1024.6,1022.8,3.0,4.0,14.5,17.5,No
97245,2011-01-11,Adelaide,21.6,25.5,0.0,7.2,2.3,SSE,31.0,SE,SSW,11.0,13.0,68.0,62.0,1008.6,1006.2,,,24.0,24.5,No
79892,2014-06-15,Watsonia,9.5,14.6,5.0,1.8,5.5,SSW,35.0,W,SSW,11.0,19.0,99.0,68.0,1019.0,1018.5,5.0,2.0,10.2,13.5,Yes
127489,2010-10-19,Walpole,10.2,27.2,0.0,,,WSW,41.0,NNW,WSW,17.0,19.0,37.0,41.0,1012.3,1011.9,,,22.3,23.8,No
24259,2009-04-10,Penrith,11.9,24.8,0.0,,,N,15.0,,NW,0.0,2.0,97.0,57.0,,,,,15.7,24.1,No
62956,2014-02-06,Sale,10.2,26.8,0.0,10.0,12.7,ESE,37.0,ESE,ESE,6.0,24.0,64.0,40.0,1017.7,1014.1,0.0,0.0,17.7,25.3,No
110423,2014-03-25,Albany,17.7,24.0,0.0,6.8,1.6,,,SSE,SE,4.0,13.0,80.0,70.0,1019.9,1018.4,7.0,8.0,20.1,22.5,No
109300,2010-11-29,Albany,15.6,31.1,0.0,9.2,13.4,,,NE,ESE,11.0,30.0,46.0,66.0,1018.4,1014.2,0.0,0.0,23.0,22.1,No
84593,2010-02-06,Brisbane,24.6,31.6,0.0,7.2,10.2,E,39.0,NNW,NE,6.0,17.0,65.0,62.0,1012.6,1010.9,7.0,7.0,28.2,29.9,No
81257,2009-09-16,Dartmoor,4.1,18.6,0.0,3.6,1.2,NNE,46.0,NNE,N,20.0,20.0,49.0,50.0,1015.8,1010.9,,,14.9,17.5,No
69555,2015-03-10,Melbourne,,,,5.4,9.0,SSE,33.0,SW,S,9.0,13.0,,,,,,,,,
142292,2017-06-13,Darwin,18.3,29.8,0.0,8.4,10.5,ESE,41.0,ESE,E,19.0,13.0,43.0,24.0,1016.7,1013.1,3.0,2.0,21.9,29.4,No
56008,2011-06-24,Ballarat,4.2,13.1,0.6,,,NNW,33.0,N,NNW,17.0,19.0,100.0,87.0,1026.4,1026.2,8.0,8.0,8.3,12.3,No
29157,2014-09-10,Richmond,13.5,24.0,7.8,,,WNW,50.0,WNW,W,9.0,31.0,62.0,34.0,1008.2,1009.2,,6.0,17.5,22.8,Yes
40552,2011-11-10,Williamtown,21.7,29.8,0.0,8.0,,WNW,54.0,WNW,WNW,26.0,31.0,47.0,49.0,1011.9,1011.9,8.0,7.0,26.7,28.7,No
10121,2011-12-29,CoffsHarbour,18.1,25.5,0.0,7.8,10.0,S,57.0,SSW,S,30.0,35.0,60.0,55.0,1011.5,1011.9,3.0,3.0,22.2,24.6,No
72185,2014-02-24,Mildura,14.5,35.2,0.0,6.8,12.2,SE,22.0,SSW,WSW,9.0,9.0,52.0,21.0,1016.7,1013.4,1.0,2.0,19.4,33.6,No
142255,2017-05-07,Darwin,23.9,33.7,0.0,6.2,11.0,E,39.0,SE,SE,13.0,17.0,72.0,34.0,1014.8,1010.9,1.0,2.0,28.2,33.1,No
75357,2010-01-12,Portland,21.1,22.3,0.6,13.0,0.2,WNW,52.0,NW,WSW,26.0,20.0,90.0,69.0,1003.1,1010.5,8.0,8.0,22.3,16.9,No
112071,2010-04-05,Witchcliffe,10.2,22.8,1.0,,,W,28.0,WNW,W,9.0,17.0,77.0,65.0,1011.5,1009.6,,,18.9,20.3,No
11495,2015-12-01,CoffsHarbour,18.0,31.5,0.0,,,NE,54.0,,NE,,31.0,64.0,75.0,1013.2,1010.9,,,27.8,26.5,No
119985,2015-09-11,PerthAirport,9.3,21.2,8.6,1.6,10.1,NW,63.0,N,NW,15.0,43.0,74.0,50.0,1018.9,1016.2,6.0,4.0,16.4,20.8,Yes
74065,2014-12-23,Nhil,16.1,26.0,0.2,,,SSW,50.0,WSW,WSW,19.0,26.0,85.0,51.0,1009.9,1011.1,,,18.6,23.3,No
49474,2010-02-24,Tuggeranong,11.2,25.3,0.0,,,ESE,30.0,NW,SE,2.0,7.0,61.0,38.0,1020.4,1018.2,,,15.9,24.2,No
43502,2011-08-12,Wollongong,11.3,15.9,19.4,,,S,61.0,SSW,S,26.0,33.0,85.0,69.0,1018.8,1018.9,8.0,8.0,13.0,15.2,Yes
82309,2012-09-02,Dartmoor,4.0,18.7,0.0,1.0,9.2,NNW,43.0,NNE,NW,17.0,26.0,79.0,55.0,1020.2,1017.8,,,10.8,18.4,No
51896,2017-01-10,Tuggeranong,18.3,32.4,0.4,,,NW,39.0,WNW,W,7.0,20.0,63.0,41.0,1010.8,1008.4,,,24.5,29.9,No
122945,2015-01-21,Perth,19.8,35.8,0.0,10.0,10.2,SSW,39.0,S,SSW,15.0,17.0,21.0,43.0,1013.0,1012.1,1.0,7.0,32.2,32.9,No
83181,2015-03-22,Dartmoor,6.4,30.4,0.0,3.6,10.6,NNW,46.0,,NNW,0.0,17.0,100.0,29.0,1019.7,1014.0,,,10.7,28.3,No
84155,2008-11-25,Brisbane,18.2,27.7,0.0,7.8,10.5,ESE,28.0,E,ENE,15.0,13.0,53.0,56.0,1012.1,1010.0,7.0,6.0,26.1,26.9,No
82326,2012-09-19,Dartmoor,1.4,17.8,0.0,2.6,5.5,NNW,20.0,,NNE,0.0,9.0,100.0,58.0,1017.5,1013.6,,,8.5,16.6,No
41895,2015-09-12,Williamtown,6.5,26.1,0.0,,,WNW,35.0,NNW,WSW,13.0,11.0,66.0,31.0,1029.0,1024.6,,,16.6,25.6,No
87369,2009-05-18,Cairns,18.2,28.1,0.0,6.0,10.7,ESE,35.0,SE,ESE,19.0,26.0,64.0,51.0,1014.6,1010.3,1.0,1.0,23.4,26.4,No
55650,2010-06-01,Ballarat,2.0,13.3,0.0,,,N,26.0,E,N,2.0,15.0,98.0,68.0,1019.5,1017.8,4.0,7.0,7.3,12.5,No
31015,2010-05-19,Sydney,11.7,20.0,47.8,,6.1,,,W,SSE,20.0,9.0,91.0,62.0,1022.1,1020.3,7.0,3.0,13.0,20.0,Yes
127992,2012-04-07,Walpole,7.1,21.8,0.0,,,SSE,35.0,ENE,SSE,11.0,19.0,75.0,53.0,1024.2,1021.2,,,14.5,19.4,No
111439,2017-01-04,Albany,,25.8,0.0,,,,,,,,,,,1012.7,1008.5,,,,,No
7091,2011-12-08,Cobar,13.1,29.0,0.0,5.4,,,,E,S,9.0,11.0,55.0,27.0,1010.5,1008.0,1.0,4.0,20.3,26.8,No
108523,2017-05-08,Woomera,8.4,18.0,0.0,4.4,,E,33.0,ESE,ESE,22.0,13.0,50.0,31.0,1030.3,1027.1,5.0,,12.6,17.3,No
41677,2015-02-06,Williamtown,14.4,25.1,,,,SE,35.0,WNW,SSE,9.0,20.0,69.0,47.0,1027.3,1026.0,8.0,,21.1,23.6,
31303,2011-03-03,Sydney,17.4,31.7,0.0,2.2,10.5,ESE,33.0,W,SE,20.0,28.0,77.0,35.0,1009.1,1007.1,,,20.9,29.5,No
69141,2014-01-20,Melbourne,17.0,24.8,0.4,7.8,4.7,S,46.0,SSE,S,24.0,31.0,69.0,59.0,1011.5,1010.2,7.0,,20.2,24.0,No
137668,2013-07-13,AliceSprings,11.7,28.5,0.0,5.0,8.4,NW,48.0,NNE,NW,13.0,17.0,50.0,33.0,1019.0,1015.4,5.0,6.0,20.3,27.1,No
112926,2012-09-06,Witchcliffe,9.3,15.8,2.8,,,SE,44.0,S,S,15.0,26.0,,,1026.5,1027.0,,,12.9,14.9,Yes
76754,2014-02-06,Portland,15.1,33.0,0.0,8.2,12.8,W,28.0,NE,SSW,9.0,15.0,67.0,39.0,1012.3,1010.3,,,21.6,28.3,No
32866,2015-09-10,Sydney,11.3,19.6,0.0,4.8,6.5,SSW,37.0,WNW,SSE,13.0,15.0,59.0,41.0,1030.9,1029.8,1.0,7.0,15.5,18.9,No
45755,2008-04-16,Canberra,6.3,19.3,0.0,3.4,10.6,S,31.0,S,SE,9.0,13.0,65.0,39.0,1027.9,1024.4,1.0,1.0,12.6,18.8,No
78529,2010-06-24,Watsonia,6.2,17.2,0.0,1.4,7.2,NNE,43.0,NE,NNE,11.0,13.0,68.0,59.0,1026.2,1021.2,2.0,7.0,13.6,17.1,No
115130,2010-05-25,PearceRAAF,5.5,19.4,0.2,,7.8,NNE,30.0,NNE,ENE,11.0,9.0,71.0,43.0,1020.4,1016.5,0.0,3.0,12.3,19.2,No
26003,2014-04-18,Penrith,10.7,25.9,0.0,,,WNW,26.0,,NE,0.0,4.0,84.0,39.0,,,,,16.0,25.5,No
